Vocabulary;EnglishDefinition;GermanTranslation;SampleSentence;VocabularyAudio;SampleSentenceAudio;Tags
thus;In this way, so;She studied diligently and thus achieved excellent grades.<br>I drank to much coffee and thus got sick;;;unverified
yield;To produce or provide;erzeugen, liefern;The apple orchard yields a bountiful harvest every autumn.<br>This field yields no value.;;;unverified
